ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
GO:0019538	122988	1699	377	44	2589	45	3	false	1.204697204667393E-7	1.204697204667393E-7	0.0	"protein metabolic process"
GO:0005198	122988	806	377	34	5709	108	1	false	2.5321894604457756E-6	2.5321894604457756E-6	0.0	"structural molecule activity"
GO:0043603	122988	927	377	32	2338	45	1	false	1.5963283575487673E-5	1.5963283575487673E-5	0.0	"amide metabolic process"
GO:1901564	122988	1926	377	44	2612	45	2	false	1.6862903398936817E-5	1.6862903398936817E-5	0.0	"organonitrogen compound metabolic process"
GO:0005509	122988	139	377	13	358	14	1	false	2.9467528192359226E-5	2.9467528192359226E-5	3.2388978927115693E-103	"calcium ion binding"
GO:0043170	122988	2095	377	45	2604	45	1	false	5.1144810178527914E-5	5.1144810178527914E-5	0.0	"macromolecule metabolic process"
GO:0044271	122988	1203	377	33	1577	33	2	false	1.186816066156432E-4	1.186816066156432E-4	0.0	"cellular nitrogen compound biosynthetic process"
GO:0009059	122988	1105	377	33	2357	45	2	false	2.5454128639453217E-4	2.5454128639453217E-4	0.0	"macromolecule biosynthetic process"
GO:0044249	122988	1302	377	33	2165	38	2	false	2.9825994665244246E-4	2.9825994665244246E-4	0.0	"cellular biosynthetic process"
GO:0043228	122988	932	377	36	1163	36	1	false	3.0090146157993233E-4	3.0090146157993233E-4	5.672413049694205E-251	"non-membrane-bounded organelle"
GO:0006412	122988	900	377	32	1997	45	5	false	3.1954842744289365E-4	3.1954842744289365E-4	0.0	"translation"
GO:0043232	122988	932	377	36	1161	36	2	false	3.204408193116288E-4	3.204408193116288E-4	1.4428257161373487E-249	"intracellular non-membrane-bounded organelle"
GO:0006518	122988	916	377	32	1926	44	2	false	5.489812613837229E-4	5.489812613837229E-4	0.0	"peptide metabolic process"
GO:0008234	122988	176	377	10	358	10	1	false	7.215745241271122E-4	7.215745241271122E-4	4.2495451742518777E-107	"cysteine-type peptidase activity"
GO:0043226	122988	1163	377	36	1864	42	1	false	7.496049594121232E-4	7.496049594121232E-4	0.0	"organelle"
GO:0043604	122988	912	377	32	1218	33	2	false	7.673575753942639E-4	7.673575753942639E-4	2.5521404877297732E-297	"amide biosynthetic process"
GO:0032561	122988	271	377	12	1168	22	2	false	0.0012964677557410795	0.0012964677557410795	5.951838832358491E-274	"guanyl ribonucleotide binding"
GO:0003674	122988	5709	377	108	6502	112	1	false	0.0013461373312576952	0.0013461373312576952	0.0	"molecular_function"
GO:0019001	122988	275	377	12	1225	23	1	false	0.0015910185618504664	0.0015910185618504664	1.7819575968822965E-282	"guanyl nucleotide binding"
GO:0043043	122988	906	377	32	1103	32	3	false	0.0016684104126235026	0.0016684104126235026	5.14036151517823E-224	"peptide biosynthetic process"
GO:0009055	122988	59	377	4	502	6	2	false	0.0021705823455920713	0.0021705823455920713	2.1970621764199753E-78	"electron transfer activity"
GO:1901576	122988	1373	377	33	2653	45	2	false	0.0024048232783675434	0.0024048232783675434	0.0	"organic substance biosynthetic process"
GO:0016787	122988	1150	377	22	2787	33	1	false	0.0026966203469513455	0.0026966203469513455	0.0	"hydrolase activity"
GO:1901566	122988	1093	377	32	2196	45	2	false	0.002766470925309911	0.002766470925309911	0.0	"organonitrogen compound biosynthetic process"
GO:0016675	122988	29	377	3	483	6	1	false	0.0034581311005854646	0.0034581311005854646	3.051623754476241E-47	"oxidoreductase activity, acting on a heme group of donors"
