ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
GO:0042302	116407	8	106	4	445	5	1	false	2.1554972700720074E-7	2.1554972700720074E-7	2.793326169241045E-17	"structural constituent of cuticle"
GO:0042085	116407	1	106	1	102	1	1	false	0.009803921568627428	0.009803921568627428	0.009803921568627428	"5-methyltetrahydropteroyltri-L-glutamate-dependent methyltransferase activity"
GO:0000097	116407	5	106	1	701	2	4	false	0.014224577134706646	0.014224577134706646	7.1911742382392E-13	"sulfur amino acid biosynthetic process"
GO:0008172	116407	2	106	1	102	1	1	false	0.01960784313725486	0.01960784313725486	1.941370607648973E-4	"S-methyltransferase activity"
GO:0070279	116407	38	106	2	1778	13	3	false	0.029915330384389878	0.029915330384389878	2.4776998161547815E-79	"vitamin B6 binding"
GO:0016769	116407	6	106	1	793	4	1	false	0.029979183784093262	0.029979183784093262	2.950715459344019E-15	"transferase activity, transferring nitrogenous groups"
GO:0016675	116407	14	106	1	461	1	1	false	0.030368763557480364	0.030368763557480364	5.434668916459107E-27	"oxidoreductase activity, acting on a heme group of donors"
GO:0044272	116407	16	106	1	905	2	2	false	0.035065760524131025	0.035065760524131025	1.1807553897477575E-34	"sulfur compound biosynthetic process"
GO:0022853	116407	38	106	2	197	2	2	false	0.03641355019164735	0.03641355019164735	1.539984501612326E-41	"active monoatomic ion transmembrane transporter activity"
GO:0030170	116407	38	106	2	1172	10	2	false	0.039103661659391886	0.039103661659391886	2.304610384451578E-72	"pyridoxal phosphate binding"
GO:0015399	116407	90	106	2	2557	10	2	false	0.04587891648828449	0.04587891648828449	1.4604245208123618E-168	"primary active transmembrane transporter activity"
GO:0015453	116407	16	106	1	535	2	2	false	0.05897301270611209	0.05897301270611209	5.825396889764046E-31	"oxidoreduction-driven active transmembrane transporter activity"
GO:0000096	116407	15	106	1	1470	6	3	false	0.05978288991257127	0.05978288991257127	4.3437330411266655E-36	"sulfur amino acid metabolic process"
GO:0009055	116407	29	106	1	474	1	2	false	0.06118143459914852	0.06118143459914852	5.353595310330001E-47	"electron transfer activity"
GO:0019842	116407	47	106	2	1245	11	1	false	0.0617619576666592	0.0617619576666592	2.096904101901504E-86	"vitamin binding"
GO:0006457	116407	114	106	2	2408	9	1	false	0.06432927180414347	0.06432927180414347	1.1938856786296734E-198	"protein folding"
GO:0140662	116407	90	106	2	352	2	2	false	0.06483100233100265	0.06483100233100265	2.548440950664167E-86	"ATP-dependent protein folding chaperone"
GO:0005198	116407	445	106	5	5004	25	1	false	0.06533436465043546	0.06533436465043546	0.0	"structural molecule activity"
GO:0098660	116407	102	106	2	374	2	1	false	0.07384840360711117	0.07384840360711117	1.4474713204538124E-94	"inorganic ion transmembrane transport"
GO:0036094	116407	1245	106	11	2972	18	1	false	0.07900242743912601	0.07900242743912601	0.0	"small molecule binding"
GO:0008652	116407	29	106	1	713	2	3	false	0.07974691523395751	0.07974691523395751	2.8681576940549584E-52	"amino acid biosynthetic process"
GO:0044183	116407	96	106	2	5005	25	3	false	0.08213673484461824	0.08213673484461824	1.7856676133982135E-205	"protein folding chaperone"
GO:0006811	116407	157	106	2	515	2	1	false	0.09252389407275394	0.09252389407275394	7.655701737775279E-137	"monoatomic ion transport"
GO:0051082	116407	109	106	2	1000	5	1	false	0.09452820009624747	0.09452820009624747	6.510300926291653E-149	"unfolded protein binding"
GO:0006082	116407	176	106	2	2181	7	3	false	0.10387764258782786	0.10387764258782786	7.003762609229721E-265	"organic acid metabolic process"
GO:0004427	116407	18	106	1	472	3	1	false	0.11032430557627179	0.11032430557627179	6.575601767013482E-33	"inorganic diphosphate phosphatase activity"
GO:0043167	116407	1477	106	12	2972	18	1	false	0.11316396107795917	0.11316396107795917	0.0	"ion binding"
GO:0022804	116407	111	106	2	326	2	1	false	0.11524303916940411	0.11524303916940411	3.372307121689257E-90	"active transmembrane transporter activity"
GO:0034220	116407	132	106	2	385	2	2	false	0.11696428571428466	0.11696428571428466	7.43703682345735E-107	"monoatomic ion transmembrane transport"
GO:0006790	116407	37	106	1	1643	6	1	false	0.12792003071528119	0.12792003071528119	2.1752502635722965E-76	"sulfur compound metabolic process"
GO:0015318	116407	117	106	2	326	2	1	false	0.12809815950918085	0.12809815950918085	8.248988171151481E-92	"inorganic molecular entity transmembrane transporter activity"
GO:0016053	116407	49	106	1	1032	3	4	false	0.13591110109086385	0.13591110109086385	4.136505101203453E-85	"organic acid biosynthetic process"
GO:0015075	116407	124	106	2	334	2	2	false	0.1371311431191649	0.1371311431191649	4.6175751893071546E-95	"monoatomic ion transmembrane transporter activity"
GO:0005488	116407	2972	106	18	5004	25	1	false	0.1388343265952667	0.1388343265952667	0.0	"binding"
GO:0003674	116407	5004	106	25	5700	26	1	false	0.15561374874734663	0.15561374874734663	0.0	"molecular_function"
GO:0046914	116407	128	106	2	320	2	1	false	0.15924764890279447	0.15924764890279447	6.469156376041831E-93	"transition metal ion binding"
